Date,Open,High,Low,Close,Adj Close,Volume
2000-10-09,42.585468,44.016075,41.820263,43.042931,14.319304,3699848
2000-10-10,43.433853,45.446682,43.433853,44.332142,14.748194,7027455
2000-10-11,43.833092,45.197159,43.500393,44.041027,14.651345,4697962
2000-10-12,44.215694,45.039124,42.676964,42.918167,14.277798,3950506
2000-10-13,42.918167,42.918167,42.918167,42.918167,14.277798,0
2000-10-16,42.918167,42.918167,42.918167,42.918167,14.277798,0
2000-10-17,42.918167,42.918167,42.918167,42.918167,14.277798,0
2000-10-18,42.918167,42.918167,42.918167,42.918167,14.277798,0
2000-10-19,42.918167,42.918167,42.918167,42.918167,14.277798,0
2000-10-20,42.918167,42.918167,42.918167,42.918167,14.277798,0
2000-10-23,45.995632,45.995632,43.982807,44.889408,14.933580,2963689
2000-10-24,44.889408,44.889408,44.889408,44.889408,14.933580,0
2000-10-25,44.490173,44.490173,42.884899,43.733280,14.548969,3508979
2000-10-26,43.799820,44.856140,42.627056,43.250870,14.388477,5356766
2000-10-27,43.425533,43.483757,41.421024,42.668644,14.194790,5576937
2000-10-30,42.818359,43.533661,42.527248,43.275822,14.396783,2143080
2000-10-31,43.275822,43.275822,43.275822,43.275822,14.396783,0
2000-11-01,45.247063,47.351383,44.673157,46.611130,15.506353,4231101
2000-11-02,46.411507,47.068588,45.987316,46.386555,15.431646,3631942
2000-11-03,46.594494,47.758938,45.538174,46.245159,15.384607,4785654
2000-11-06,46.369923,46.935509,45.213791,45.446682,15.118975,4028264
2000-11-07,45.330238,45.571442,44.423634,45.039124,14.983388,2843574
2000-11-08,45.330238,45.488270,44.864456,44.997540,14.969556,2281063
2000-11-09,45.005856,46.078808,44.756332,45.621349,15.177081,3083086
2000-11-10,45.662937,46.411507,44.548393,44.748013,14.886542,2957086
2000-11-13,44.631569,45.504902,44.598297,44.914364,14.941881,1798822
2000-11-14,44.914364,44.914364,44.914364,44.914364,14.941881,0
2000-11-15,45.163887,45.163887,42.934803,43.616837,14.510231,5957096
2000-11-16,42.793407,43.541981,41.795311,43.042931,14.319304,6603671
2000-11-17,42.219501,42.735184,40.589275,41.421024,13.779737,9571774
2000-11-20,41.171497,41.462612,39.008957,39.632767,13.184829,5605405
2000-11-21,39.008957,39.383244,38.027493,38.792702,12.905360,5536076
2000-11-22,38.260384,39.150352,37.536762,38.717842,12.880457,4830907
2000-11-23,39.008957,40.589275,38.967369,40.323116,13.414492,3185302
2000-11-24,40.672451,41.071690,39.799114,39.982101,13.301044,3000324
2000-11-27,40.131817,40.680767,38.925781,39.333336,13.085216,2934037
